Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
251;Trey Lyles;PF;27;SAC;8;0;15.4;2.5;5.6;0.444;1.8;4.1;0.424;0.8;1.5;0.5;0.6;0.8;1.1;0.667;0.4;2.5;2.9;1;0.5;0.6;1.3;1.4;7.5
252;Théo Maledon;PG;21;CHO;11;0;13.3;1.5;3.3;0.472;0.5;1.5;0.353;1;1.7;0.579;0.556;0.5;0.5;0.833;0.1;1.6;1.7;2.3;0.5;0.3;1.2;0.9;4.1
253;Sandro Mamukelashvili;C;23;MIL;3;0;5;0.3;1.7;0.2;0;1;0;0.3;0.7;0.5;0.2;0;0;0;0;1;1;0;0;0;0.3;0.3;0.7
254;Terance Mann;SG;26;LAC;12;5;17.8;2.9;4.7;0.625;0.4;1.4;0.294;2.5;3.3;0.769;0.67;0.5;0.9;0.545;0.7;2.3;2.9;1.3;0.6;0.3;0.9;1.7;6.8
255;Tre Mann;PG;21;OKC;11;4;25.6;4.5;11;0.405;1.8;5.5;0.333;2.6;5.5;0.475;0.488;0.9;1.5;0.625;0.8;2.5;3.4;2.5;0.9;0.1;1.1;2.1;11.6
256;Boban Marjanovi?;C;34;HOU;4;0;3;0.3;0.8;0.333;0;0;0;0.3;0.8;0.333;0.333;0.8;1.3;0.6;0.3;0.8;1;0.3;0.3;0;0.3;0.3;1.3
257;Lauri Markkanen;SF;25;UTA;13;13;33.1;8.3;15.8;0.527;2.2;6.3;0.341;6.2;9.5;0.65;0.595;3.9;4.5;0.879;2.2;6.6;8.8;2.5;0.6;0.9;1.9;1.9;22.7
258;Naji Marshall;SF;25;NOP;11;4;21.4;2.9;6.5;0.451;0.7;2.2;0.333;2.2;4.3;0.511;0.507;1.1;1.5;0.706;1.1;2.1;3.2;1.5;0.7;0.3;1.1;1.6;7.6
259;Caleb Martin;PF;27;MIA;10;10;27.6;3.4;7.8;0.436;0.7;2.3;0.304;2.7;5.5;0.491;0.481;0.6;0.6;1;1.9;2.6;4.5;1.5;1.3;0.1;0.8;2.1;8.1
260;Cody Martin;SF;27;CHO;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
261;Kenyon Martin Jr.;SF;22;HOU;12;3;25.5;4.3;8.3;0.51;1.3;3.7;0.364;2.9;4.7;0.625;0.59;1.6;2.4;0.655;1.2;3.7;4.8;1.7;0.5;0.7;1.1;2.3;11.4
262;Tyrese Martin;SG;23;ATL;5;0;3;0.6;1;0.6;0.2;0.4;0.5;0.4;0.6;0.667;0.7;0;0;0;0.2;0;0.2;0;0.2;0;0;0.2;1.4
263;Garrison Mathews;SG;26;HOU;12;0;12.5;1.2;3.4;0.341;1.2;3.3;0.35;0;0.1;0;0.512;0.7;0.7;1;0.1;0.8;0.8;0.4;0.3;0.1;0.4;1.3;4.2
264;Bennedict Mathurin;SG;20;IND;11;0;28;6.3;13.6;0.46;2.8;6.5;0.437;3.5;7.2;0.481;0.563;5;5.9;0.846;1.1;2.5;3.5;2.2;0.5;0.1;2.5;2.3;20.4
265;Wesley Matthews;SG;36;MIL;11;0;16.2;1.3;3.6;0.35;1;2.7;0.367;0.3;0.9;0.3;0.488;0.3;0.4;0.75;1.2;1.4;2.5;0.6;0.5;0.2;0.5;1.8;3.8
266;Tyrese Maxey;SG;22;PHI;11;11;38.1;8.5;18.4;0.465;3;7.2;0.418;5.5;11.2;0.496;0.547;3.5;4.7;0.75;0.5;3.1;3.5;4;0.9;0.2;2.2;2.3;23.6
267;Miles McBride;PG;22;NYK;4;0;2.5;0;0.5;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0.3;0
268;CJ McCollum;SG;31;NOP;11;11;35.6;7.6;18.8;0.406;2;6.5;0.306;5.6;12.3;0.459;0.459;1.8;2.4;0.769;1;4.2;5.2;6.2;1.3;0.5;1.9;2;19.1
