Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
323;Theo Pinson;SG;27;DAL;1;0;7;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;2;1;0;0;0;0;2
324;Scotty Pippen Jr.;PG;22;LAL;2;0;4;0;1;0;0;0;0;0;1;0;0;1.5;2;0.75;0.5;0.5;1;0;0;0;0.5;1;1.5
325;Mason Plumlee;C;32;CHO;12;12;25.2;3.3;5.8;0.58;0;0;0;3.3;5.8;0.58;0.58;2.1;3.8;0.543;3.1;5.5;8.6;4.1;0.5;0.6;1.7;3.3;8.8
326;Jakob Poeltl;C;27;SAS;12;12;29.2;5.4;8.4;0.644;0;0;0;5.4;8.4;0.644;0.644;1.6;3.3;0.475;3.8;5.9;9.8;3.8;1.1;1;2.3;2;12.4
327;Aleksej Pokusevski;PF;21;OKC;9;5;23.9;3.3;8.2;0.405;1.2;3.7;0.333;2.1;4.6;0.463;0.48;0.7;1.3;0.5;1.9;3.7;5.6;1.7;0.9;1.3;1.4;1.6;8.6
328;Jordan Poole;SG;23;GSW;11;2;28.8;5.1;12.5;0.406;2;6.6;0.301;3.1;5.9;0.523;0.486;3;3.7;0.805;0.3;1.2;1.5;4.9;1.2;0.1;3.2;2.5;15.2
329;Kevin Porter Jr.;PG;22;HOU;12;12;35.2;6.4;15.9;0.403;1.8;5.3;0.344;4.6;10.6;0.433;0.461;4.2;5.3;0.794;1.6;4.5;6.1;6.1;1.3;0.3;3.8;2.8;18.8
330;Michael Porter Jr.;SF;24;DEN;10;10;29.9;6.4;13.1;0.489;3.6;7.4;0.486;2.8;5.7;0.491;0.626;1.4;1.7;0.824;1.6;5.6;7.2;1.3;0.6;0.3;1.2;3;17.8
331;Otto Porter Jr.;SF;29;TOR;5;0;18.2;2.2;4;0.55;1;2.4;0.417;1.2;1.6;0.75;0.675;1;1;1;0.8;1.6;2.4;0.8;1.6;0;0.4;0.8;6.4
332;Bobby Portis;PF;27;MIL;11;2;26.4;5.3;11.6;0.453;1.4;3.8;0.357;3.9;7.8;0.5;0.512;1.2;1.5;0.765;2.5;8.4;10.9;2;0.4;0.3;1;1.3;13.1
333;Kristaps Porzi??is;PF;27;WAS;11;11;30.8;6.6;13.9;0.477;1.7;5.2;0.333;4.9;8.7;0.563;0.539;4.2;5.1;0.821;2.3;5.9;8.2;2.5;0.6;1.3;1.8;3.5;19.2
334;Micah Potter;PF;24;UTA;2;0;6;1;1;1;0;0;0;1;1;1;1;0;0;0;0.5;1;1.5;0.5;0;0;0;1;2
335;Dwight Powell;C;31;DAL;7;3;17.7;2.3;3.6;0.64;0;0.1;0;2.3;3.4;0.667;0.64;1.3;1.7;0.75;1.3;2.3;3.6;0.3;0.7;0.6;0.6;2.1;5.9
336;Norman Powell;SG;29;LAC;12;5;25.3;4.2;9.6;0.435;1.1;3.8;0.289;3.1;5.8;0.529;0.491;2.2;2.9;0.743;0.3;2.4;2.8;1.3;0.8;0.3;2.1;2;11.6
337;Jason Preston;PG;23;LAC;1;0;3;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
338;Joshua Primo;SG;20;SAS;4;0;23.3;2.3;6.5;0.346;0.8;3;0.25;1.5;3.5;0.429;0.404;1.8;2.3;0.778;0.5;2.8;3.3;4.5;0.3;0.5;2.8;2;7
339;Taurean Prince;SF;28;MIN;12;0;19.7;2.9;5.9;0.493;1.4;3.3;0.425;1.5;2.6;0.581;0.613;0.5;0.6;0.857;0.4;2.4;2.8;1.2;0.3;0.2;1;2.4;7.8
340;Payton Pritchard;PG;25;BOS;4;0;7.3;1;3.3;0.308;0.5;1.8;0.286;0.5;1.5;0.333;0.385;0.3;0.5;0.5;0;1;1;1.3;0;0;1;0.8;2.8
341;Immanuel Quickley;PG;23;NYK;11;0;21.2;2.5;7.5;0.337;1;3.9;0.256;1.5;3.6;0.425;0.404;1.4;1.7;0.789;0.6;4.6;5.3;3.3;0.9;0.1;1.6;1.5;7.5
342;Julius Randle;PF;28;NYK;11;11;33.5;6.8;14.8;0.46;2;5.6;0.355;4.8;9.2;0.525;0.528;4.8;6.5;0.736;2.4;6.7;9.1;3.3;0.7;0.3;3.2;3.5;20.5
343;Austin Reaves;SG;24;LAL;11;3;25.8;2;4.6;0.431;0.9;2.7;0.333;1.1;1.9;0.571;0.529;2;2.3;0.88;0.6;2.6;3.3;1.5;0.5;0.4;0.9;1.2;6.9
344;Cam Reddish;SF;23;NYK;11;3;20.6;2.6;6.5;0.408;1;2.8;0.355;1.6;3.6;0.45;0.486;0.8;1;0.818;0.3;1.4;1.6;1;0.5;0.5;0.7;1.9;7.1
345;Davon Reed;SG;27;DEN;7;0;6.4;0.4;1.6;0.273;0.3;0.7;0.4;0.1;0.9;0.167;0.364;0.1;0.3;0.5;0;0.6;0.6;0.1;0.4;0;1;0.7;1.3
346;Paul Reed;C;23;PHI;8;0;7.1;0.4;1;0.375;0;0;0;0.4;1;0.375;0.375;0;0;0;0.4;1.3;1.6;0.1;1.3;0.4;0.4;1.5;0.8
347;Naz Reid;C;23;MIN;9;0;13.1;3.4;5.9;0.585;0.7;2.2;0.3;2.8;3.7;0.758;0.642;0.9;1.3;0.667;0.7;2;2.7;0.3;0.4;0.8;0.8;1.9;8.4
348;Nick Richards;C;25;CHO;12;0;19.7;3.6;6;0.597;0;0;0;3.6;6;0.597;0.597;2.5;3.5;0.714;3;3.4;6.4;0.9;0;0.8;0.8;1.9;9.7
349;Josh Richardson;SG;29;SAS;11;2;23.2;3.8;8.5;0.452;2.1;4.9;0.426;1.7;3.5;0.487;0.575;1.9;2.3;0.84;0.3;1.9;2.2;3.2;0.7;0.1;2.2;2.1;11.6
350;Austin Rivers;SG;30;MIN;6;0;7.2;0.3;1.5;0.222;0.2;0.8;0.2;0.2;0.7;0.25;0.278;0.7;0.7;1;0;0.7;0.7;0.3;0;0.2;0.2;0;1.5
351;Duncan Robinson;SF;28;MIA;11;0;16.4;2;5.9;0.338;1.5;4.5;0.34;0.5;1.4;0.333;0.469;0.4;0.4;1;0.3;2.5;2.7;1.4;0;0;0.4;1.8;5.9
352;Mitchell Robinson;C;24;NYK;8;8;21.8;2.9;4.1;0.697;0;0;0;2.9;4.1;0.697;0.697;0.8;1.8;0.429;3.5;2.9;6.4;1;0.4;2.3;0.6;3.6;6.5
353;Jeremiah Robinson-Earl;PF;22;OKC;11;9;17.2;2.8;5.9;0.477;1.3;3.2;0.4;1.5;2.7;0.567;0.585;0.6;1;0.636;0.9;2.7;3.6;0.8;1;0.4;0.5;1.6;7.5
354;Isaiah Roby;PF;24;SAS;7;0;10;1.3;3;0.429;0.3;1;0.286;1;2;0.5;0.476;0.3;0.9;0.333;0.4;1.9;2.3;1.3;0.7;0.3;0.3;0.7;3.1
355;David Roddy;PF;21;MEM;12;0;18.1;2;5.8;0.343;0.8;3.3;0.25;1.2;2.5;0.467;0.414;0.5;0.7;0.75;0.8;1.8;2.6;0.7;0.6;0.3;0.5;1.8;5.3
356;Ryan Rollins;PG;20;GSW;4;0;3.3;0.5;1.3;0.4;0.3;0.5;0.5;0.3;0.8;0.333;0.5;0.5;0.5;1;0;0.3;0.3;0.3;0;0;1.3;1;1.8
357;Derrick Rose;PG;34;NYK;11;0;12.7;2.4;6.2;0.382;1;2.8;0.355;1.4;3.4;0.405;0.463;0.3;0.3;1;0.4;1.7;2.1;2;0.5;0.2;1.1;0.5;6
358;Terrence Ross;SG;31;ORL;11;8;27;3.8;8.5;0.452;1.8;4.5;0.408;2;4;0.5;0.559;0.4;0.6;0.571;0.4;2.4;2.7;1.3;0.7;0.3;1;2.3;9.8
359;Terry Rozier;PG;28;CHO;5;5;34.8;8.2;22;0.373;3.6;10.2;0.353;4.6;11.8;0.39;0.455;1.8;2;0.9;1.6;4.2;5.8;6;0.2;0.6;2.8;1.4;21.8
360;D'Angelo Russell;PG;26;MIN;12;12;29.9;4.9;12.8;0.383;1.9;6.1;0.315;3;6.8;0.444;0.458;2.3;3;0.75;0.9;2.9;3.8;5.7;1.3;0.7;3.1;1.9;14
361;Matt Ryan;SF;25;LAL;9;0;12.8;1.6;4.6;0.341;1.3;3.2;0.414;0.2;1.3;0.167;0.488;0.4;0.6;0.8;0.2;1.1;1.3;0.3;0.2;0;0.3;1.4;4.9
362;Domantas Sabonis;PF;26;SAC;10;10;31.8;5.9;10.8;0.546;0.1;1.2;0.083;5.8;9.6;0.604;0.551;4.9;7;0.7;2.3;8.1;10.4;6.1;1;0.6;2.2;4.1;16.8
363;Dario Šari?;PF;28;PHO;6;0;8.8;1.2;3.2;0.368;0.3;1.2;0.286;0.8;2;0.417;0.421;0.2;0.3;0.5;1.3;1.5;2.8;0.8;0.5;0;0.5;1.3;2.8
364;Jordan Schakel;SF;24;WAS;2;0;3;0.5;1;0.5;0.5;0.5;1;0;0.5;0;0.75;0;0;0;0;0;0;0.5;0.5;0;0;0.5;1.5
365;Admiral Schofield;PF;25;ORL;4;0;5.3;0.5;0.8;0.667;0.3;0.5;0.5;0.3;0.3;1;0.833;0;0;0;0;0.8;0.8;0;0;0;0;1.3;1.3
366;Dereon Seabron;SG;22;NOP;2;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
367;Alperen Þengün;C;20;HOU;10;7;27;6.1;10.5;0.581;0.3;1.2;0.25;5.8;9.3;0.624;0.595;4.6;5.8;0.793;4.1;5.6;9.7;2.1;0.7;1.1;2;3.1;17.1
368;Collin Sexton;SG;24;UTA;13;1;21.9;4.5;9.7;0.46;1.2;3.2;0.381;3.2;6.5;0.5;0.524;3.5;4.2;0.836;0.9;1.9;2.8;1.8;0.8;0.1;1.6;2.2;13.7
369;Landry Shamet;SG;25;PHO;9;0;16.2;2.2;5.6;0.4;1.3;3.7;0.364;0.9;1.9;0.471;0.52;1.2;1.4;0.846;0.2;0.4;0.7;1.2;0.6;0.1;0.9;1.3;7
370;Day'Ron Sharpe;C;21;BRK;8;0;10.5;1;2.4;0.421;0;0.1;0;1;2.3;0.444;0.421;0.5;1;0.5;1.1;2.3;3.4;0.6;0.4;0.6;0.9;2.6;2.5
371;Shaedon Sharpe;SG;19;POR;11;4;21;3.8;7.5;0.512;1;2.3;0.44;2.8;5.2;0.544;0.579;0.7;1;0.727;0.9;1.8;2.7;0.5;0.4;0.3;0.7;2.1;9.4
372;Pascal Siakam;C;28;TOR;9;9;35.7;8.9;18.6;0.479;1.4;4.2;0.342;7.4;14.3;0.519;0.518;5.6;7.7;0.725;1.8;7.6;9.3;7.7;0.9;0.6;2.7;3.1;24.8
373;Ben Simmons;PG;26;BRK;8;6;28.9;2.4;5.4;0.442;0;0.1;0;2.4;5.3;0.452;0.442;0.9;1.9;0.467;1.1;5.3;6.4;6.3;1.3;0.6;2.5;4.1;5.6
374;Marko Simonovic;C;23;CHI;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
375;Anfernee Simons;SG;23;POR;9;9;35.7;7.9;18.2;0.433;3.6;10.1;0.352;4.3;8.1;0.534;0.53;2.7;3.2;0.828;0.3;2.2;2.6;4.1;1;0.2;2.6;2.3;22
376;Jericho Sims;C;24;NYK;6;2;9;1;1;1;0;0;0;1;1;1;1;0.2;0.3;0.5;0.8;1.2;2;0;0.2;0.8;0.2;1.5;2.2
377;Marcus Smart;PG;28;BOS;11;11;32.9;3.6;9.4;0.388;1.5;5.5;0.267;2.2;3.9;0.558;0.466;1.7;2.1;0.826;0.2;3.3;3.5;7;1;0.2;1.6;3;10.5
378;Dennis Smith Jr.;PG;25;CHO;12;10;29.1;4.3;9.7;0.448;0.8;2.1;0.4;3.5;7.6;0.462;0.491;0.5;0.9;0.545;0.8;3;3.8;6;2;0.7;1.6;2.3;10
379;Dru Smith;SG;25;MIA;1;0;6;1;3;0.333;0;2;0;1;1;1;0.333;0;0;0;0;1;1;0;1;0;0;1;2
380;Ish Smith;PG;34;DEN;5;0;4.6;0.4;1.6;0.25;0;0.2;0;0.4;1.4;0.286;0.25;0;0;0;0;0.4;0.4;0.4;0;0.2;0.8;0.8;0.8
381;Jabari Smith Jr.;PF;19;HOU;11;11;29.8;3.4;10.9;0.308;1.8;6.2;0.294;1.5;4.7;0.327;0.392;1.9;2.2;0.875;1.1;4.9;6;0.7;0.2;1;1.3;3.6;10.5
382;Jalen Smith;PF;22;IND;11;11;23.6;4;9.3;0.431;1.2;3.8;0.31;2.8;5.5;0.517;0.495;1.4;2;0.682;1.9;5.9;7.8;1;0.2;0.8;1.5;2.2;10.5
383;Jeremy Sochan;PF;19;SAS;11;11;23.3;3.1;6.4;0.486;0.5;2.5;0.214;2.5;3.8;0.667;0.529;0.2;0.5;0.4;1.1;2.4;3.5;1.5;1;0.5;0.9;2.2;6.9
384;Jaden Springer;PG;20;PHI;2;0;2;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0.5;1;0.5;0.5;0.5;1;0;0;0.5;0;0.5;2.5
385;Lamar Stevens;PF;25;CLE;3;0;7.7;0.7;1.7;0.4;0;0.3;0;0.7;1.3;0.5;0.4;0.7;0.7;1;0;0.3;0.3;0;0;0.3;0.3;1.3;2
386;Isaiah Stewart;C;21;DET;12;12;27.9;3.9;8.3;0.475;1;3.7;0.273;2.9;4.6;0.636;0.535;3.7;5;0.733;3.1;6.8;9.9;1.2;0.6;0.7;0.9;3;12.5
387;Max Strus;SF;26;MIA;11;4;31.5;5.3;11.5;0.46;2.8;7.4;0.383;2.5;4.1;0.6;0.583;1;1.3;0.786;0.8;3.4;4.2;2;0.6;0.5;1;2.5;14.4
388;Jalen Suggs;PG;21;ORL;7;6;28.4;4.6;10.6;0.432;1.3;4.6;0.281;3.3;6;0.548;0.493;2.1;3.6;0.6;0.7;2;2.7;4.9;2;0.4;3.3;3.7;12.6
389;Edmond Sumner;SG;27;BRK;10;4;15.9;2.3;5.3;0.434;0.6;1.9;0.316;1.7;3.4;0.5;0.491;1.8;1.9;0.947;0.3;1.7;2;1.3;0.8;0.3;1.1;1.3;7
390;Cole Swider;SF;23;LAL;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
391;Jae'Sean Tate;SF;27;HOU;3;2;22.7;3.3;6.7;0.5;0.7;1.7;0.4;2.7;5;0.533;0.55;1;1.3;0.75;2.7;1.7;4.3;3.3;1;0;1.7;5;8.3
392;Jayson Tatum;PF;24;BOS;11;11;37.2;10;20.1;0.498;3.5;9.4;0.379;6.5;10.7;0.602;0.586;7.6;8.7;0.875;0.7;6.2;6.9;4.1;0.8;1.5;2.5;2.1;31.2
393;Terry Taylor;SG;23;IND;7;2;13.4;1;3;0.333;0.3;1.1;0.25;0.7;1.9;0.385;0.381;0.4;0.6;0.75;0.9;1.3;2.1;0.7;0.3;0.6;0.1;1.3;2.7
394;Garrett Temple;SG;36;NOP;2;0;10.5;1;2;0.5;1;2;0.5;0;0;0;0.75;0;0;0;0;0.5;0.5;0.5;0.5;0;0;1;3
395;Dalen Terry;SG;20;CHI;7;0;3.1;0.3;1;0.286;0;0.3;0;0.3;0.7;0.4;0.286;0;0;0;0;0.3;0.3;0.3;0.1;0.3;0.4;0.1;0.6
396;Cam Thomas;SG;21;BRK;7;0;18.1;2.9;7;0.408;0.7;1.7;0.417;2.1;5.3;0.405;0.459;2.9;3.3;0.87;0.1;1.4;1.6;2.1;0.7;0.3;0.7;1;9.3
397;Klay Thompson;SG;32;GSW;9;9;28;5.6;15.4;0.36;3.1;9.6;0.326;2.4;5.9;0.415;0.46;0.9;1.1;0.8;0.2;2.6;2.8;2.6;0.4;0.4;1.7;1.8;15.1
398;JT Thor;PF;20;CHO;11;0;12.3;1;3;0.333;0.4;1.7;0.211;0.6;1.3;0.5;0.394;0.6;0.8;0.778;0.7;1.7;2.5;0.6;0.2;0.5;0.6;0.6;3
399;Matisse Thybulle;SG;25;PHI;10;1;10.4;0.6;1.8;0.333;0.2;1;0.2;0.4;0.8;0.5;0.389;0.1;0.3;0.333;0.3;0.9;1.2;0.6;0.6;0.4;0.1;1.2;1.5
400;Xavier Tillman Sr.;PF;24;MEM;8;0;11.4;1.5;2.9;0.522;0.1;0.5;0.25;1.4;2.4;0.579;0.543;0.4;1.1;0.333;1.4;1.5;2.9;0.8;0;0.3;0.9;1;3.5
401;Isaiah Todd;PF;21;WAS;3;0;3;0.3;1;0.333;0;0.7;0;0.3;0.3;1;0.333;0;0;0;0;0;0;0;0;0;0;0;0.7
402;Obi Toppin;PF;24;NYK;11;0;17.5;3.9;8.2;0.478;1.6;4.1;0.4;2.3;4.1;0.556;0.578;0.8;0.8;1;0.9;3.1;4;1.2;0.6;0.2;0.9;0.8;10.3
403;Juan Toscano-Anderson;SF;29;LAL;8;0;13.5;0.9;2.6;0.333;0.1;1.3;0.1;0.8;1.4;0.545;0.357;0.5;0.6;0.8;0;2.3;2.3;0.5;0.3;0.4;0.8;1.6;2.4
404;Karl-Anthony Towns;PF;27;MIN;12;12;34.8;7.6;15.1;0.503;2.1;5.8;0.362;5.5;9.3;0.589;0.572;4.1;4.5;0.907;1.8;7.2;8.9;5.5;0.7;0.7;3.2;3.6;21.3
405;Gary Trent Jr.;SG;24;TOR;12;12;33.8;6.3;14.3;0.442;2.6;7.3;0.352;3.8;7;0.536;0.532;2.6;3.3;0.795;0.8;1.3;2;1.6;1.4;0.2;1.1;1.3;17.8
406;P.J. Tucker;PF;37;PHI;11;11;28.5;2.3;4;0.568;0.9;2;0.455;1.4;2;0.682;0.682;0.3;0.4;0.75;1.5;3.1;4.6;0.7;0.5;0.5;1.1;2.7;5.7
407;Myles Turner;C;26;IND;6;6;28.5;5.5;11.2;0.493;1.3;4;0.333;4.2;7.2;0.581;0.552;5.3;6.3;0.842;1.5;7;8.5;1.7;0.3;3.3;2;3.7;17.7
408;Jonas Valan?i?nas;C;30;NOP;11;11;25.1;5.5;10.4;0.535;0.4;1.3;0.286;5.2;9.1;0.57;0.553;3.5;4.2;0.848;3.5;7;10.5;2.3;0.5;0.4;1.5;2;15
409;Jarred Vanderbilt;PF;23;UTA;11;11;25.6;3.6;6.4;0.571;0.5;1.1;0.5;3.1;5.3;0.586;0.614;0.9;1.4;0.667;2.1;6;8.1;2.8;1.5;0.5;1.7;3.9;8.7
410;Fred VanVleet;PG;28;TOR;9;9;37.4;6.1;15;0.407;3.6;8.4;0.421;2.6;6.6;0.39;0.526;3;3.3;0.9;0.7;3.2;3.9;7.2;2.3;0.8;1.2;2.3;18.8
411;Devin Vassell;SG;22;SAS;8;6;31.6;7.6;16.5;0.462;3.5;7.8;0.452;4.1;8.8;0.471;0.568;2.1;2.9;0.739;0.1;3.9;4;4.3;1;0.3;1.4;1.1;20.9
412;Gabe Vincent;PG;26;MIA;11;0;24.5;3.1;7.8;0.395;1.3;4.2;0.304;1.8;3.6;0.5;0.477;1.2;1.5;0.765;0.4;1.8;2.2;3.1;1;0.2;1.6;2.7;8.6
413;Noah Vonleh;C;27;BOS;9;1;11.4;1.1;1.9;0.588;0.1;0.1;1;1;1.8;0.563;0.618;0;0;0;1.4;1.8;3.2;0.2;0.2;0.7;0.9;2.4;2.3
414;Nikola Vu?evi?;C;32;CHI;13;13;31.8;6.2;13;0.473;1.8;4.5;0.397;4.4;8.5;0.514;0.541;2.5;2.7;0.914;2.8;9.1;11.9;3.1;0.2;0.8;2.4;2.5;16.5
415;Dean Wade;PF;26;CLE;11;4;22.8;2.5;4.6;0.529;1.6;3.3;0.5;0.8;1.4;0.6;0.706;0.7;1;0.727;0.5;2.8;3.3;1;0.5;0.4;0.4;2.5;7.3
416;Franz Wagner;SF;21;ORL;12;12;34.4;7.4;15.1;0.492;1;4.1;0.245;6.4;11;0.583;0.525;2.6;3;0.861;1.1;2.8;3.8;4.7;0.9;0.3;2.8;2.2;18.4
417;Jabari Walker;SF;20;POR;6;0;9.3;1;1.8;0.545;0.2;0.5;0.333;0.8;1.3;0.625;0.591;0.2;0.3;0.5;0.5;1.8;2.3;1.2;0.2;0.2;0.2;1;2.3
418;Lonnie Walker IV;SG;24;LAL;9;9;30.9;5.7;12.8;0.443;1.6;5.2;0.298;4.1;7.6;0.544;0.504;2.4;3;0.815;0.6;2.2;2.8;2;1.1;0.8;1.1;2.2;15.3
419;John Wall;PG;32;LAC;9;0;22.3;4.9;11.3;0.431;0.8;3.7;0.212;4.1;7.7;0.536;0.466;1.9;3.3;0.567;0.4;2;2.4;5;1.1;0.3;1.3;1.7;12.4
420;Duane Washington Jr.;SG;22;PHO;4;0;2.3;0.5;2.3;0.222;0;1;0;0.5;1.3;0.4;0.222;0;0;0;0;0;0;0;0;0;0.3;0;1
421;P.J. Washington;PF;24;CHO;12;12;31.2;5.9;13.8;0.428;1.9;5.6;0.343;4;8.3;0.485;0.497;2.2;2.7;0.813;1.3;3.3;4.7;1.8;0.7;1.3;1.8;2.6;15.9
422;Yuta Watanabe;SF;28;BRK;10;0;16;2.2;3.7;0.595;1.2;2.2;0.545;1;1.5;0.667;0.757;0;0.2;0;0.5;1.9;2.4;0.5;0.3;0.6;0.3;1;5.6
423;Lindy Waters III;SG;25;OKC;2;0;8;0.5;3;0.167;0.5;3;0.167;0;0;0;0.25;0;0;0;0.5;0.5;1;0;0;0;0;0;1.5
424;Trendon Watford;PF;22;POR;3;0;18;2;4.7;0.429;0;1;0;2;3.7;0.545;0.429;2.3;2.7;0.875;0.7;2.3;3;3;0.7;0;1.3;2;6.3
425;Peyton Watson;SG;20;DEN;4;0;2.3;0.8;1.8;0.429;0;0;0;0.8;1.8;0.429;0.429;0;0;0;0.5;0.3;0.8;0;0;0;0;0.3;1.5
426;Blake Wesley;SG;19;SAS;2;0;11.5;3;4.5;0.667;1;1.5;0.667;2;3;0.667;0.778;1;2;0.5;0.5;0.5;1;2;0;0;1;1.5;8
427;Russell Westbrook;PG;34;LAL;10;3;29;5.8;13.3;0.436;1.3;4;0.325;4.5;9.3;0.484;0.485;3.2;4;0.8;1;4.6;5.6;6.3;1.4;0.4;3.6;2.4;16.1
428;Coby White;PG;22;CHI;7;0;21.9;3;7.9;0.382;1.4;4.9;0.294;1.6;3;0.524;0.473;0.7;1.3;0.556;0.1;1.6;1.7;1.7;0.7;0;0.9;2;8.1
429;Derrick White;SG;28;BOS;11;9;25.1;2.8;6.2;0.456;1.4;3.2;0.429;1.5;3;0.485;0.566;0.9;1.1;0.833;0.6;3;3.6;2.7;0.5;0.8;0.6;2.9;7.9
430;Jack White;SF;25;DEN;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0.5;0;0;0;0
431;Aaron Wiggins;SG;24;OKC;8;3;20;1.8;4.5;0.389;0.6;1.9;0.333;1.1;2.6;0.429;0.458;0.9;1.1;0.778;0.8;3.4;4.1;1.4;0.5;0.4;0.9;1.3;5
432;Andrew Wiggins;SF;27;GSW;10;10;34;7;14.6;0.479;2.5;6.2;0.403;4.5;8.4;0.536;0.565;1.7;2.4;0.708;1.7;4.4;6.1;2.8;1.3;1.2;1.2;2.9;18.2
433;Grant Williams;PF;24;BOS;10;2;26.1;2.7;4.4;0.614;1.5;2.9;0.517;1.2;1.5;0.8;0.784;1.3;1.5;0.867;0.7;3.7;4.4;1.5;0.6;0.7;0.8;2.8;8.2
434;Jalen Williams;SG;21;OKC;7;2;20.3;3.1;6;0.524;0.4;1.4;0.3;2.7;4.6;0.594;0.56;0.7;0.7;1;0.3;2;2.3;1.6;1.1;0.4;1.1;2.1;7.4
435;Jaylin Williams;PF;20;OKC;2;0;6.5;1.5;3.5;0.429;0;0.5;0;1.5;3;0.5;0.429;0;0.5;0;2;1.5;3.5;1;0.5;0;0;1;3
436;Kenrich Williams;PF;28;OKC;10;2;20.8;2.6;5.3;0.491;0.6;2;0.3;2;3.3;0.606;0.547;0.2;0.7;0.286;2.2;2.1;4.3;1.7;0.6;0.2;0.4;2.2;6
437;Mark Williams;C;21;CHO;3;0;4.3;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;1;1;1;1.3;1.3;2.7;0;0;0;0.7;1;3.7
438;Patrick Williams;PF;21;CHI;13;13;24.8;3.5;7.8;0.446;1;2.8;0.351;2.5;4.9;0.5;0.51;0.9;1;0.923;1.2;2.5;3.7;0.8;0.8;1.1;1.5;2.1;8.8
439;Vince Williams Jr.;SG;22;MEM;3;0;6;0.3;2;0.167;0;1.7;0;0.3;0.3;1;0.167;0;0;0;0.3;0.7;1;0.7;0.7;0.3;0;1.3;0.7
440;Zion Williamson;PF;22;NOP;9;9;32;9.1;16.9;0.539;0.2;0.6;0.4;8.9;16.3;0.544;0.546;4.2;6;0.704;2.3;4.3;6.7;3.8;1.1;0.3;2.7;2.6;22.7
441;Justise Winslow;SF;26;POR;10;3;25.5;3.2;7.6;0.421;0.4;1.5;0.267;2.8;6.1;0.459;0.447;0.7;1;0.7;1.6;2.9;4.5;3.3;1.4;0.5;1.4;2.4;7.5
442;James Wiseman;C;21;GSW;10;0;13.8;2.9;4.8;0.604;0;0;0;2.9;4.8;0.604;0.604;1.5;2.3;0.652;1;3;4;0.9;0.1;0.4;0.8;2.6;7.3
443;Christian Wood;PF;27;DAL;9;0;24.7;5.7;10;0.567;1.3;2.9;0.462;4.3;7.1;0.609;0.633;2.9;4.3;0.667;1.4;6.3;7.8;0.8;0.3;0.6;2.4;2.4;15.6
444;Delon Wright;PG;30;WAS;4;0;22.8;2.5;6;0.417;0.8;3;0.25;1.8;3;0.583;0.479;0.8;1.3;0.6;1;1.5;2.5;3.3;2.8;1;1;1.3;6.5
445;McKinley Wright IV;PG;24;DAL;1;0;5;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;1;1;2;2;1;0;0;0;2
446;Thaddeus Young;PF;34;TOR;9;0;10.8;0.9;2.3;0.381;0.1;0.7;0.167;0.8;1.7;0.467;0.405;0.1;0.2;0.5;1;1.6;2.6;1.1;0.8;0.1;0.4;0.8;2
447;Trae Young;PG;24;ATL;10;10;35.1;8.8;23.3;0.378;2.4;7.7;0.312;6.4;15.6;0.41;0.429;7.6;8.3;0.916;0.9;2.5;3.4;9.4;0.8;0.2;3.2;1.6;27.6
448;Ivica Zubac;C;25;LAC;12;12;30.8;4.2;7;0.595;0;0.1;0;4.2;6.9;0.602;0.595;1.8;3.1;0.595;2.6;8.3;10.8;1.4;0.7;2.4;2;2.7;10.2
